TEST_NUM,IIDNESS,COHORT_SIZE,LR,TOTAL_ROUNDS,AVERAGE_SECONDS_PER_ROUND
1,0,5,0.1,178,9.318102435169616
2,0,10,0.1,112,14.446732636245931
3,0,15,0.1,110,26.422884723082692
4,0,20,0.1,71,30.810850675434242
5,20,5,0.1,3,18.83448665495962
6,20,10,0.1,2,35.221576320473105
7,20,15,0.1,2,53.71183959254995
8,20,20,0.1,2,57.39561888715252
9,40,5,0.2,4,14.558682165690698
10,40,10,0.2,3,27.36904932713757
11,40,15,0.2,3,39.9598831810678
12,40,20,0.2,3,55.987058834793665
13,60,5,0.2,3,15.327191436973711
14,60,10,0.2,2,28.834909465629607
15,60,15,0.2,3,42.95541538530961
16,60,20,0.2,4,64.22043792530894
17,80,5,0.2,4,15.749707452836446
18,80,10,0.2,100,28.315982795963063
19,80,15,0.2,3,43.917458162643015
20,80,20,0.2,3,65.03872001714383
21,100,5,0.2,1,15.59065572079271
22,100,10,0.2,1,28.869486731942743
23,100,15,0.2,1,41.52322806371376
24,100,20,0.2,1,65.39754133904353
